Cedrino;;;;;;;;;;
5;Flumini Mannu di Cagliari;Nuraminis;NURAMINIS;Campidano;135;36,6;51,4;;;1 h;0,0;0;0;200420170000
;;;;;;49,2;69,2;;;3 h;0,0;0;0;200420170000
;;;;;;59,6;83,6;;;6 h;0,0;0;0;200420170000
;;;;;;72;100,8;;;12 h;0,0;0;0;200420170000
;;;;;;87;121,4;;;24 h;0,0;0;0;200420170000
6;Flumini Mannu di Cagliari;Sanluri O.N.C.;SANLURI;Campidano;61;37,2;52,4;;;1 h;0,0;0;0;200420170000
;;;;;;50,8;71,4;;;3 h;0,0;0;0;200420170000
;;;;;;61,8;86,8;;;6 h;0,0;0;0;200420170000
;;;;;;75,4;105,4;;;12 h;0,0;0;0;200420170000
;;;;;;91,8;128;;;24 h;0,0;0;0;200420170000
7;Flumini Mannu di Cagliari;Senorbi';SENORBI';Campidano;234;36,4;51,4;;;1 h;0,0;0;0;200420170000
;;;;;;49,2;69,2;;;3 h;0,0;0;0;200420170000
;;;;;;59,6;83,4;;;6 h;0,0;0;0;200420170000
;;;;;;71,8;100,6;;;12 h;0,0;0;0;200420170000
;;;;;;86,8;121,2;;;24 h;0,0;0;0;200420170000
8;Flumini Mannu di Cagliari;Vallermosa;VALLERMOSA;Campidano;81;41;57,8;;;1 h;0,0;0;0;200420170000
;;;;;;59,8;84;;;3 h;0,0;0;0;200420170000
;;;;;;76;106,4;;;6 h;0,0;0;0;200420170000
;;;;;;96,4;134,8;;;12 h;0,0;0;0;200420170000
;;;;;;122,2;170,6;;;24 h;0,0;0;0;200420170000
9;Flumini Mannu di Cagliari;Villasor;VILLASOR;Campidano;22;38,2;53,8;;;1 h;0,0;0;0;200420170000
;;;;;;53,2;74,8;;;3 h;0,0;0;0;200420170000
;;;;;;65,4;91,8;;;6 h;0,0;0;0;200420170000
;;;;;;80,6;112,8;;;12 h;0,0;0;0;200420170000
;;;;;;99,4;138,6;;;24 h;0,0;0;0;200420170000
Flumini Mannu di Pabillonis;;;;;;;;;;
1;Flumini Mannu di Pabillonis;Santa Maria di Neapolis;GUSPINI;Bacini Montevecchio-Pischilappiu;9;37;51,8;;;1 h;0,0;0;0;200420170000
;;;;;;50,6;70,4;;;3 h;0,0;0;0;200420170000
;;;;;;61,6;85,4;;;6 h;0,0;0;0;200420170000
;;;;;;75,2;103,8;;;12 h;0,0;0;0;200420170000
;;;;;;91,6;126;;;24 h;0,0;0;0;200420170000
2;Flumini Mannu di Pabillonis;Sardara;SARDARA;Bacini Montevecchio-Pischilappiu;222;35,4;50;;;1 h;0,0;0;0;200420170000
;;;;;;46,8;65,8;;;3 h;0,0;0;0;200420170000
;;;;;;55,8;78,2;;;6 h;0,0;0;0;200420170000
;;;;;;66,6;93,2;;;12 h;0,0;0;0;200420170000
;;;;;;79,4;111;;;24 h;0,0;0;0;200420170000
3;Flumini Mannu di Pabillonis;Terramaistus a Gonnosfanadiga;GONNASFANADIGA;Bacini Montevecchio-Pischilappiu;150;41,2;58;;;1 h;0,0;0;0;200420170000
;;;;;;60;84,4;;;3 h;0,0;0;0;200420170000
;;;;;;76,2;107;;;6 h;0,0;0;0;200420170000
;;;;;;96,8;135,6;;;12 h;0,0;0;0;200420170000
;;;;;;123;171,8;;;24 h;0,0;0;0;200420170000
Liscia;;;;;;;;;;
1;Liscia;Tempio;TEMPIO PAUSANIA;Gallura;459;42,6;60;;;1 h;0,0;0;0;200420170000
;;;;;;63,6;89,6;;;3 h;0,0;0;0;200420170000
;;;;;;82;115,2;;;6 h;0,0;0;0;200420170000
;;;;;;105,8;148;;;12 h;0,0;0;0;200420170000
;;;;;;136,4;190,4;;;24 h;0,0;0;0;200420170000
Mannu di Portotorres;;;;;;;;;;
1;Mannu di Portotorres;Mannu di Porto Torres;USINI;Logudoro;90;39;55;;;1 h;0,0;0;0;200420170000
;;;;;;55;77,4;;;3 h;0,0;0;0;200420170000
;;;;;;68,4;95,8;;;6 h;0,0;0;0;200420170000
;;;;;;84,8;118,8;;;12 h;0,0;0;0;200420170000
;;;;;;105,4;147,2;;;24 h;0,0;0;0;200420170000
2;Mannu di Portotorres;Osilo;OSILO;Logudoro;693;39,6;55,8;;;1 h;0,0;0;0;200420170000
;;;;;;56,4;79,4;;;3 h;0,0;0;0;200420170000
;;;;;;70,6;99;;;6 h;0,0;0;0;200420170000
;;;;;;88,2;123,4;;;12 h;0,0;0;0;200420170000
;;;;;;110,4;154;;;24 h;0,0;0;0;200420170000
3;Mannu di Portotorres;Pianu;BESSUDE;Logudoro;526;39,8;55,6;;;1 h;0,0;0;0;200420170000
;;;;;;57,2;79,4;;;3 h;0,0;0;0;200420170000
;;;;;;71,8;99,4;;;6 h;0,0;0;0;200420170000
;;;;;;90,2;124,6;;;12 h;0,0;0;0;200420170000
;;;;;;113,4;155,8;;;24 h;0,0;0;0;200420170000
4;Mannu di Portotorres;Porto Torres;PORTO TORRES;Logudoro;24;36,4;51,2;;;1 h;0,0;0;0;200420170000
;;;;;;49;68,8;;;3 h;0,0;0;0;200420170000
;;;;;;59;82,8;;;6 h;0,0;0;0;200420170000
;;;;;;71,2;99,6;;;12 h;0,0;0;0;200420170000
;;;;;;85,8;120;;;24 h;0,0;0;0;200420170000
5;Mannu di Portotorres;Sassari;SASSARI;Logudoro;364;38,6;54,6;;;1 h;0,0;0;0;200420170000
;;;;;;54,2;76,2;;;3 h;0,0;0;0;200420170000
;;;;;;67;94;;;6 h;0,0;0;0;200420170000
;;;;;;83;116,2;;;12 h;0,0;0;0;200420170000
;;;;;;102,8;143,4;;;24 h;0,0;0;0;200420170000
Minori tra il Cedrino e il Flumendosa;;;;;;;;;;
1;Minori tra il Cedrino e il Flumendosa;Baunei;BAUNEI;Bacini Flumendosa-Flumineddu;443;53,4;76;;;1 h;0,0;0;0;200420170000
;;;;;;95,2;136;;;3 h;0,0;0;0;200420170000
;;;;;;137;196,4;;;6 h;0,0;0;0;200420170000
;;;;;;197,2;283,8;;;12 h;0,0;0;0;200420170000
;;;;;;283,8;410;;;24 h;0,0;0;0;200420170000
2;Minori tra il Cedrino e il Flumendosa;Genna Silana;URZULEI;Bacini Flumendosa-Flumineddu;1013;56,4;80,2;;;1 h;0,0;0;0;200420170000
;;;;;;104,4;149,2;;;3 h;0,0;0;0;200420170000
;;;;;;153,8;220,6;;;6 h;0,0;0;0;200420170000
;;;;;;226,8;326,2;;;12 h;0,0;0;0;200420170000
;;;;;;334;482,4;;;24 h;0,0;0;0;200420170000
3;Minori tra il Cedrino e il Flumendosa;Jerzu;JERZU;Bacini Flumendosa-Flumineddu;576;48,8;69,2;;;1 h;0,0;0;0;200420170000
;;;;;;81,8;116,8;;;3 h;0,0;0;0;200420170000
;;;;;;113,2;162,4;;;6 h;0,0;0;0;200420170000
;;;;;;156,8;225,6;;;12 h;0,0;0;0;200420170000
;;;;;;217,2;313,6;;;24 h;0,0;0;0;200420170000
4;Minori tra il Cedrino e il Flumendosa;Lanusei;LANUSEI;Bacini Flumendosa-Flumineddu;418;54,4;77,4;;;1 h;0,0;0;0;200420170000
;;;;;;98,4;140,6;;;3 h;0,0;0;0;200420170000
;;;;;;142,8;204,8;;;6 h;0,0;0;0;200420170000
;;;;;;207,2;298,2;;;12 h;0,0;0;0;200420170000
;;;;;;300,6;434,2;;;24 h;0,0;0;0;200420170000
5;Minori tra il Cedrino e il Flumendosa;Punta Tricoli;GAIRO;Bacini Flumendosa-Flumineddu;1210;53,8;76,6;;;1 h;0,0;0;0;200420170000
;;;;;;96,4;137,8;;;3 h;0,0;0;0;200420170000
;;;;;;139,2;199,6;;;6 h;0,0;0;0;200420170000
;;;;;;201;289,2;;;12 h;0,0;0;0;200420170000
;;;;;;290,2;419;;;24 h;0,0;0;0;200420170000
6;Minori tra il Cedrino e il Flumendosa;Tertenia;TERTENIA;Bacini Flumendosa-Flumineddu;104;52;74;;;1 h;0,0;0;0;200420170000
;;;;;;91,2;130,4;;;3 h;0,0;0;0;200420170000
;;;;;;130;186,4;;;6 h;0,0;0;0;200420170000
;;;;;;185;266,2;;;12 h;0,0;0;0;200420170000
;;;;;;263,4;380,6;;;24 h;0,0;0;0;200420170000
Minori tra il Cixerri e il Palmas;;;;;;;;;;
1;Minori tra il Cixerri e il Palmas;Capoterra;CAPOTERRA;Iglesiente;165;41,6;58,8;;;1 h;0,0;0;0;200420170000
;;;;;;61,4;86,2;;;3 h;0,0;0;0;200420170000
;;;;;;78,4;110;;;6 h;0,0;0;0;200420170000
;;;;;;100,2;140;;;12 h;0,0;0;0;200420170000
;;;;;;127,8;178,6;;;24 h;0,0;0;0;200420170000
2;Minori tra il Cixerri e il Palmas;Is Cannoneris;PULA;Iglesiente;717;47,2;66,6;;;1 h;0,0;0;0;200420170000
;;;;;;75,8;106,4;;;3 h;0,0;0;0;200420170000
;;;;;;102;143;;;6 h;0,0;0;0;200420170000
;;;;;;137,4;192,2;;;12 h;0,0;0;0;200420170000
;;;;;;185;258,2;;;24 h;0,0;0;0;200420170000
3;Minori tra il Cixerri e il Palmas;Porto Pino;S.ANNA ARRESI;Iglesiente;2;35,2;49,6;;;1 h;0,0;0;0;200420170000
;;;;;;46,4;65,2;;;3 h;0,0;0;0;200420170000
;;;;;;55,2;77,4;;;6 h;0,0;0;0;200420170000
;;;;;;65,6;91,8;;;12 h;0,0;0;0;200420170000
;;;;;;78,2;109;;;24 h;0,0;0;0;200420170000
4;Minori tra il Cixerri e il Palmas;Pula;PULA;Iglesiente;14;39;54,8;;;1 h;0,0;0;0;200420170000
;;;;;;54,8;77;;;3 h;0,0;0;0;200420170000
;;;;;;68;95,4;;;6 h;0,0;0;0;200420170000
;;;;;;84,4;118;;;12 h;0,0;0;0;200420170000
;;;;;;104,8;146,2;;;24 h;0,0;0;0;200420170000
5;Minori tra il Cixerri e il Palmas;Santa Lucia di Capoterra;UTA;Iglesiente;62;41,6;58,8;;;1 h;0,0;0;0;200420170000
;;;;;;61,2;86,2;;;3 h;0,0;0;0;200420170000
;;;;;;78,2;109,8;;;6 h;0,0;0;0;200420170000
;;;;;;99,8;139,8;;;12 h;0,0;0;0;200420170000
;;;;;;127,4;178;;;24 h;0,0;0;0;200420170000
Minori tra il Coghinas e il Liscia;;;;;;;;;;
1;Minori tra il Coghinas e il Liscia;Aglientu;AGLIENTU;Gallura;431;41,2;58;04:14;05:14 del 19 apr 2017;1 h;0,2;0,00;0,00;200420170000
;;;;;;60,2;84,4;02:14;05:14 del 19 apr 2017;3 h;0,2;0,00;0,00;200420170000
;;;;;;76,4;107;00:00;06:00 del 19 apr 2017;6 h;0,2;0,00;0,00;200420170000
;;;;;;97;135,8;00:00;12:00 del 19 apr 2017;12 h;0,2;0,00;0,00;200420170000
;;;;;;123,2;172;00:00;00:00 del 20 apr 2017;24 h;0,2;0,00;0,00;200420170000
2;Minori tra il Coghinas e il Liscia;Paduledda;TRINITA' D' AGULTU;Gallura;232;37;52,2;;;1 h;0,0;0;0;200420170000
;;;;;;50,6;71;;;3 h;0,0;0;0;200420170000
;;;;;;61,6;86,2;;;6 h;0,0;0;0;200420170000
;;;;;;74,8;104,8;;;12 h;0,0;0;0;200420170000
;;;;;;91;127;;;24 h;0,0;0;0;200420170000
Minori tra il Flumendosa e il Flumini Mannu di Cagliari;;;;;;;;;;
1;Minori tra il Flumendosa e il Flumini Mannu di Cagliari;Campuomu C.ma;SINNAI;Campidano;439;47,6;67,8;;;1 h;0,0;0;0;200420170000
;;;;;;78,8;112,4;;;3 h;0,0;0;0;200420170000
;;;;;;108;155;;;6 h;0,0;0;0;200420170000
;;;;;;148,2;213,4;;;12 h;0,0;0;0;200420170000
;;;;;;203,4;293,8;;;24 h;0,0;0;0;200420170000
2;Minori tra il Flumendosa e il Flumini Mannu di Cagliari;Minni Minni;CASTIADAS;Campidano;724;46,4;66;;;1 h;0,0;0;0;200420170000
;;;;;;75,2;107,4;;;3 h;0,0;0;0;200420170000
;;;;;;102;146,2;;;6 h;0,0;0;0;200420170000
;;;;;;138,4;199,2;;;12 h;0,0;0;0;200420170000
;;;;;;187,8;271,2;;;24 h;0,0;0;0;200420170000
